Image 1,Image 2,Preprocessing,Detector,KP1,KP2,Matches,Inliers,Precision,Recall
cap_03.tiff,cap_28.tiff,Log Norm,ORB,8,0,0,0,0.0,0.0
cap_03.tiff,cap_28.tiff,Log Norm,AKAZE,2,1,0,0,0.0,0.0
cap_03.tiff,cap_28.tiff,Log Norm,KAZE,0,0,0,0,0.0,0.0
cap_03.tiff,cap_28.tiff,Log Norm,BRISK,3,1,0,0,0.0,0.0
cap_03.tiff,cap_28.tiff,Log Norm,FAST_BRIEF,2,0,0,0,0.0,0.0
cap_03.tiff,cap_28.tiff,Log Norm,FAST_FREAK,3,2,1,0,0.0,0.0
cap_03.tiff,cap_28.tiff,Hist Eq,SIFT,18,16,2,0,0.0,0.0
cap_03.tiff,cap_28.tiff,Hist Eq,ORB,5,8,0,0,0.0,0.0
cap_03.tiff,cap_28.tiff,Hist Eq,AKAZE,1,1,0,0,0.0,0.0
cap_03.tiff,cap_28.tiff,Hist Eq,KAZE,6,13,4,0,0.0,0.0
cap_03.tiff,cap_28.tiff,Hist Eq,BRISK,2,6,0,0,0.0,0.0
cap_03.tiff,cap_28.tiff,Hist Eq,FAST_BRIEF,2,3,2,0,0.0,0.0
cap_03.tiff,cap_28.tiff,Hist Eq,FAST_FREAK,14,14,3,0,0.0,0.0
cap_03.tiff,cap_28.tiff,CLAHE,SIFT,0,0,0,0,0.0,0.0
cap_03.tiff,cap_28.tiff,CLAHE,ORB,11,5,0,0,0.0,0.0
cap_03.tiff,cap_28.tiff,CLAHE,AKAZE,10,9,4,0,0.0,0.0
cap_03.tiff,cap_28.tiff,CLAHE,KAZE,24,24,9,4,0.444,0.167
cap_03.tiff,cap_28.tiff,CLAHE,BRISK,8,5,0,0,0.0,0.0
cap_03.tiff,cap_28.tiff,CLAHE,FAST_BRIEF,5,1,0,0,0.0,0.0
cap_03.tiff,cap_28.tiff,CLAHE,FAST_FREAK,5,4,0,0,0.0,0.0
cap_03.tiff,cap_28.tiff,Gauss+Sharpen,SIFT,9,8,2,0,0.0,0.0
cap_03.tiff,cap_28.tiff,Gauss+Sharpen,ORB,11,7,1,0,0.0,0.0
cap_03.tiff,cap_28.tiff,Gauss+Sharpen,AKAZE,7,7,4,0,0.0,0.0
cap_03.tiff,cap_28.tiff,Gauss+Sharpen,KAZE,15,15,3,0,0.0,0.0
cap_03.tiff,cap_28.tiff,Gauss+Sharpen,BRISK,7,6,0,0,0.0,0.0
cap_03.tiff,cap_28.tiff,Gauss+Sharpen,FAST_BRIEF,8,4,8,7,0.875,1.75
cap_03.tiff,cap_28.tiff,Gauss+Sharpen,FAST_FREAK,10,6,4,0,0.0,0.0
cap_03.tiff,cap_28.tiff,Gamma(0.5),SIFT,7,5,4,0,0.0,0.0
cap_03.tiff,cap_28.tiff,Gamma(0.5),ORB,11,3,0,0,0.0,0.0
cap_03.tiff,cap_28.tiff,Gamma(0.5),AKAZE,5,7,2,0,0.0,0.0
cap_03.tiff,cap_28.tiff,Gamma(0.5),KAZE,14,14,2,0,0.0,0.0
